Item Name,Qty,Price (total) (USD) (Conversion from Euro),Item link,Notes
Seeed Studio Xiao ESP32 S3,2,$22.67,https://mauser.pt,All items are from PT stores and have been converted from euro to dollar since I live in Portugal
1.3 Inch TFT Display,1,$6.54,https://mauser.pt,
Keyestudio Motor Driver,1,$5.32,https://mauser.pt,
Joy-IT Joystick Module,2,$5.96,https://mauser.pt,
DC Motors,4,$45.01,https://mauser.pt,
Samsung 3000mah Li-ion Cell,1,$11.29,https://mauser.pt,
Cell Holder,1,$0.76,https://mauser.pt,
HC-SR04 Ultrasonic Sensor,1,$2.75,https://mauser.pt,
400mah Lipo battery,1,$6.25,https://mauser.pt,
Switch,2,$1.87,https://www.aquario.pt,
Heated Brass Inserts Pack,1,$14.06,https://www.worten.pt,I chose this pack as it was the most cost effective given I need 3 types of brass inserts and all the other stores that have it had crazy shipping costs
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$122.48,,,
