Item Name,Qty,Price (total) (USD) (Conversion from Euro),Item link,Notes
Seeed Studio Xiao ESP32 S3,2,$22.67,https://mauser.pt/095-0493/seeed-xiao-rp2040-microcontrolador-seeed-studio-xiao-rp2040-compativel-com-arduino-micropython-circuitpython,All items are from PT stores and have been converted from euro to dollar since I live in Portugal
1.3 Inch TFT Display,1,$6.54,https://mauser.pt/095-3837/joy-it-sbc-lcd01-modulo-ecra-tft-ips-1-28-240x240px-com-controlador-spi,
Keyestudio Motor Driver,1,$5.32,https://mauser.pt/095-5697/keyestudio-ks0066-modulo-controlador-de-motor-tb6612fng,
Joy-IT Joystick Module,2,$5.96,https://mauser.pt/096-7590/joy-it-modulo-joystick-de-polegar-compativel-com-arduino,
DC Motors,4,$45.01,https://mauser.pt/096-6471/micro-motor-dc-c-redutor-metalico-6v-440rpm-50-1-26x12x10mm,
Samsung 3000mah Li-ion Cell,1,$11.29,https://mauser.pt/120-0434/samsung-inr18650-30q-bateria-li-ion-18650-3-6v-3000mah-18-33x65mm,
Cell Holder,1,$0.76,https://mauser.pt/035-0686/suporte-de-pilha-1x18650-com-fios-de-130m,
HC-SR04 Ultrasonic Sensor,1,$2.75,https://mauser.pt/096-6220/sensor-ultrassonico-hc-sr04-compativel-com-arduino,
400mah Lipo battery,1,$6.25,https://mauser.pt/035-5287/bateria-3-7v-400mah-li-po-35x30x4mm,
Switch,2,$1.87,https://www.aquario.pt/pt/product/euroconnex-interruptor-de-corredica-3p-1p2t-125v-05a-g2266,
Heated Brass Inserts Pack,1,$14.06,https://www.worten.pt/produtos/conjunto-de-insercoes-rosca-m2-m2-5-m3-520-pecas-latao-resistente-para-plastico-e-impressao-3d-mrkean-5905954134427,I chose this pack as it was the most cost effective given I need 3 types of brass inserts and all the other stores that have it had crazy shipping costs
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$122.48,,,
